survey_id,variable,category,frequency,share,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,clase2,3,5641951.0,0.04306776178814076,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,clase2,4,42832496.0,0.3269613179057195,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,contract,0.0,16965970.0,0.12950951797786658,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,contract,1.0,23574955.0,0.17995912160636238,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,contract,<MISSING>,90460798.0,0.690531360415771,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,0,70844508.0,0.5407906581503512,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,1,861703.0,0.00657779898055234,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,2,4081809.0,0.031158437511543263,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,3,10020617.0,0.07649225346448306,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,4,29415009.0,0.22453910014603395,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,5,15033383.0,0.11475713949197447,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,dur_est,6,744694.0,0.005684612255061714,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat4,1.0,8836081.0,0.0674501128508058,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat4,2.0,71142552.0,0.5430657732646769,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat4,3.0,18059712.0,0.13785858373786428,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat4,4.0,25914289.0,0.19781639818584676,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat4,<MISSING>,7049089.0,0.05380913196080635,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat5,1.0,8836081.0,0.0674501128508058,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat5,2.0,17639004.0,0.13464711452688297,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,educat5,3.0,53503548.0,0.40841865873779387,yes
