survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p95_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p99_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,mean,10.903761097184752,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,sd,0.9171123556998892,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,max,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,min,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,skewness,-0.9341889189365087,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,kurtosis,7.604900572032291,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p01,9.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p05,10.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p10,10.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p25,10.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p50,11.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p75,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p90,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p95,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p99,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,mean_w,10.9144665372073,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,sd_w,0.9301777680604701,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p01_w,9.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p05_w,10.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p10_w,10.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p25_w,10.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p50_w,11.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p75_w,12.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p90_w,12.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p95_w,12.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p99_w,12.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,mean,321.0047635500209,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,sd,406.3121577694709,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,max,6935.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,min,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,skewness,3.8519115230675367,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,kurtosis,23.30633869844204,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p01,26.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p05,41.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p10,56.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p25,102.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,weight,p50,182.0,no
